home_location_in_UK,pop_est_christian,pop_est_muslim,pop_est_age,pop_est_immigrants
North,71,51,62,24
North,50,30,40,60
North,61,30,57,11
North,30,30,25,35
North,73,42,52,25
South,20,10,16,25
South,55,25,20,27
South,29,14,30,29
North,30,25,55,30
North,40,30,15,15
North,45,60,52,20
North,50,32,43,22
South,29,15,60,23
North,71,61,39,40
North,60,50,40,40
North,41,18,50,19
North,29,20,13,35
North,79,45,67,8
North,28,40,23,50
North,30,30,60,18
North,30,62,12,76
North,39,36,36,20
North,50,40,50,40
North,20,40,50,15
North,48,12,50,25
South,60,25,30,30
South,29,36,52,37
North,40,20,31,19
North,40,5,8,15
North,16,20,22,23
North,45,15,30,20
North,20,10,5,15
North,45,45,35,50
North,40,55,35,13
North,23,40,34,18
North,49,7,23,15
South,59,42,49,33
South,40,53,68,40
North,70,20,26,22
North,47,32,18,19
South,45,5,20,20
South,40,10,5,8
North,19,20,42,4
North,15,30,25,45
South,23,15,14,40
North,30,25,20,10
North,75,25,40,45
North,55,59,49,60
North,70,6,48,7
South,25,15,20,20
North,35,15,25,20
South,34,7,40,25
North,28,42,42,26
North,43,43,28,11
North,40,9,36,20
North,47,58,49,30
South,25,28,7,47
North,33,15,15,15
North,30,10,15,10
North,49,20,30,25
